Question,GT Answer,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google"
The Governor of Santiago del Estero is a citizen of the province that is neighbored by which province on the north?,['Salta'],Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta,Salta
"In the Library with the Lead Pipe, an academic journal on topics about libraries, is abstracted and indexed by this third largest private company in Birmingham, Alabama? ",['EBSCO Information Services'],No,No,No,No,No,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,No,No,No,No,No,No,No,No,No,No,No,O'Neal Industries,O'Neal Industries,O'Neal Industries,O'Neal Industries
In what city did Charlie Spiller play college football?,['Lorman'],Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State,Alcorn State
"Which musician was born first, Constantine Orbelian or Lili Chookasian?",['Lili Chookasian'],Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian,Lili Chookasian
"What is the birthday of the author of ""She Walks These Hills""?","['February 26, 1948']","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948","February 26, 1948"
How far from Buenos Aires is the birthplace of Ezequiel Lazaro? ,['about 700 km'],Córdoba,Córdoba,In Argentina,In Argentina,In Argentina,Córdoba,Córdoba,Córdoba,Córdoba,In Argentina,Córdoba,Córdoba,Córdoba,Córdoba,Córdoba,Córdoba,Córdoba,Córdoba,Córdoba,In Argentina,Córdoba,Córdoba,Córdoba,Córdoba,Córdoba
"How many laps did Harry Prowell run during the 10,000 metres race at the 1967 Pan American Games?",['25 laps'],,25 laps,25 laps,25 laps,25 laps,,25 laps,25 laps,25,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25 laps,25
"Who has a wider scope of profession, Pete Dexter or Elie Wiesel?","['Eliezer ""Elie"" Wiesel KBE']",Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel,Elie Wiesel
When was the king that started coin production in Copenhagen born?,['2 February 1455'],"February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455",around 920,around 920,around 920,around 920,Around 920,"February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455","February 2, 1455",Around 958,Around 958,Around 958,Around 958,Around 958
"Of the retired tennis players Ross Case and Slobodan Živojinović, which player reached a higher career-high singles ranking?",['Ross Case'],Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case,Ross Case
"How many episodes were in the season of ""Rick and Morty"" that featured an episode called ""The Ricks Must Be Crazy""?",['ten'],Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes,Ten episodes
"Iola is a city along the Neosho River in a region of Kansas that can be defined by Woddson County in the northwest, and what county in the northeast?",['Bourbon County'],Woodson County,Woodson County,Woodson County,Woodson County,Woodson County,Woodson County,Woodson County,Woodson County,Allen County,Allen County,Woodson County,Woodson County,Woodson County,Coffey County,Coffey County,Woodson County,Woodson County,Woodson County,Woodson County,Woodson County,Coffey County,Coffey County,Coffey County,Coffey County,Coffey County
"David Sinclair is a fictional character in ""Numb3rs"", a crime drama produced by what company headquartered in New York City and Los Angeles?",['CBS Corporation'],Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions,Scott Free Productions
"Where was the film set in which the daughter of Shashi Kapoor, along side Sarat Pujari and Navni Parihar, set?",['Orissa'],rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,rural Odisha,Rural Odisha,Rural Odisha,rural Odisha,rural Odisha,rural Odisha,India,India,India,India,India
Georges-Henri Bousquet translated the work of a historian who is of what heritage?,['North African Arab'],Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian,Tunisian
"Which film was created more recently, Koyaanisqatsi or Mad Hot Ballroom?",['Mad Hot Ballroom'],Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom,Mad Hot Ballroom
How many novels are there in series of novels which were adapted for a 2015 BBC TV  series in which Ruby Bentall plays a character called Verity ?,['12'],Twelve,Twelve novels,Twelve novels,Twelve novels,Twelve novels,Twelve,Twelve,Twelve novels,Twelve novels,Twelve novels,Twelve,Twelve,Twelve novels,Twelve novels,Twelve,Twelve,Twelve,Twelve novels,Twelve novels,Twelve,12 novels,12 novels,12 novels,12 novels,12 novels
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,['20 October 1980'],"October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980","October 20, 1980",1980,1980,1980,1980,1980
Are Horace Ové and A. Edward Sutherland both photographers?,['no'],No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Did Nicholas Hytner and Maya Deren work in the same role in the film industry?,['no'],No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
What band did Gator Country guitarist that co-wrote Bloody Reunion come from?,['Molly Hatchet'],Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet,Molly Hatchet
"What is the main industry of this town with a population of around 2,600 as of 2010 that has Mountain Valley High School attendees as residents?",['papermaking industry'],Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance,Health Care & Social Assistance
" ""Coming Over"" is the second Japanese single album by a boy group that debuted in what year?",['2012'],2012,2012,2012,2012,2012,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2012,2012,2012,2012,2012
"Where was the Danish colony, in which the Scandinavian Collectors Club claims as part of their region and includes the islands of Saint Thomas, located?",['Caribbean'],Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean
What award did the actor in Tales from the Crypt win?,['BAFTA TV Award Best Actor'],1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,1990 Emmy Award for Outstanding Guest Actor in a Drama Series,Primetime Emmy Award,Primetime Emmy Award,Primetime Emmy Award,Primetime Emmy Award,Primetime Emmy Award
Who played a more important role in the church George Albert Smith or Wong Jing?,['George Albert Smith'],George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith,George Albert Smith
"What memorial park located at John J. Pershing Drive in North Omaha has, among other amenities, a baseball park?",['Dodge Memorial Park'],N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,NP Dodge Memorial Park,NP Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park,N.P. Dodge Memorial Park
"The Bart the Fink episode of The Simpsons aired in February of 1996, and involves the host of which kiddie show?",['The Itchy & Scratchy Show'],Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown,Krusty the Clown
"Between the two film makers Fabián Bielinsky and Murdock MacQuarrie, who was born earlier?",['Murdock MacQuarrie'],Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie,Murdock MacQuarrie
Which Prince of Bismarcks EMS dispatch incited France to declare the Franco-Prussian War in July 1870,['Otto Eduard Leopold'],Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,"Leopold, Prince of Hohenzollern","Leopold, Prince of Hohenzollern",Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen,Prince Leopold of Hohenzollern-Sigmaringen
What genre does Orkworld and John Wick have in common?,['role-playing'],Fantasy and action thriller.,Fantasy and action thriller.,Action,Action,Action,Fantasy and action thriller.,Fantasy and action thriller.,Action,Action,Action,Fantasy and action thriller.,Fantasy and action thriller.,Fantasy and action thriller.,Fantasy and action thriller.,Fantasy and action thriller.,Fantasy and action thriller.,Fantasy and action thriller.,Action,Action,Action,Action,Action,Action,Action,Action
"Who was born first, Ana Kasparian or Andre Agassi?",['Andre Kirk Agassi'],Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi,Andre Agassi
"Which of these artist lives closer to Canada, Koshi Inaba or Jonathan Davis?",['Jonathan Howsmon Davis'],Jonathan Davis,Jonathan Davis,Jonathan Davis,Jonathan Davis,Jonathan Davis,Jonathan Davis,Jonathan Davis,Jonathan Davis,Jonathan Davis,Jonathan Davis,Koshi Inaba,Koshi Inaba,Koshi Inaba,Jonathan Davis,Jonathan Davis,Koshi Inaba,Koshi Inaba,Jonathan Davis,Jonathan Davis,Koshi Inaba,Koshi Inaba,Koshi Inaba,Koshi Inaba,Koshi Inaba,Koshi Inaba
Who directed the nuclear war drama where Rita May played Jimmy Kemp's mother?,['Mick Jackson'],Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson,Mick Jackson
Did Billy Corgan's band The Smashing Pumpkins or Greek Fire originate in a more southern location?,['Greek Fire'],The Smashing Pumpkins,The Smashing Pumpkins,The Smashing Pumpkins,The Smashing Pumpkins,The Smashing Pumpkins,The Smashing Pumpkins,Greek Fire,Greek Fire,Greek Fire,The Smashing Pumpkins,Greek Fire,Greek Fire,Greek Fire,Greek Fire,Greek Fire,The Smashing Pumpkins,The Smashing Pumpkins,The Smashing Pumpkins,The Smashing Pumpkins,The Smashing Pumpkins,Greek Fire,Greek Fire,Greek Fire,Greek Fire,Greek Fire
Who has the highest scope in profession in  Rob Thomas or  James Dean Bradfield,['James Dean Bradfield'],James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,Rob Thomas,Rob Thomas,Rob Thomas,Rob Thomas,Rob Thomas,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,James Dean Bradfield,Rob Thomas,Rob Thomas,Rob Thomas,Rob Thomas,Rob Thomas
"Which species is the most numerous, Podocarpus or Osmunda? ",['Podocarpus'],Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus,Podocarpus
"Charles Hurt is currently the opinion editor of ""The Washington Times"", Fox News contributor, Breitbart News contributor, and editor of which politically conservative American news aggregation website?",['Drudge Report'],Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report,Drudge Report
"Which British music producer and engineer is notable for working wih an English electronic band having the founders: Dave Gahan, Martin Gore, and Andy Fletcher?",['Gareth Jones'],Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Andy Fletcher,Andy Fletcher,Andy Fletcher,Andy Fletcher,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Vince Clarke,Gareth Jones,Gareth Jones,Gareth Jones,Gareth Jones,Gareth Jones
Jesús Dautt is a Mexican professional footballer who is on loan from a club founded on what date?,['28 June 1945'],"April 18, 1916","April 18, 1916","April 18, 1916","April 18, 1916","April 18, 1916",February 1764,"April 18, 1916","April 18, 1916","April 18, 1916","April 18, 1916",February 1764,February 1764,February 1764,February 1764,February 1764,February 1764,February 1764,February 1764,February 1764,February 1764,Not enough information provided to answer the question.,Not enough information provided to answer the question.,Not enough information provided to answer the question.,Not enough information provided to answer the question.,Not enough information provided to answer the question.
In what year was the soft drink that the Coca-Cola Company designed Red Flash to compete against created?,['1937'],2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1937,1937,1937,1937,1937
"Who is affiliated with more countries as a director, Robert Florey and R. G. Springsteen?",['Robert Florey'],Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey,Robert Florey
Born 2 B.R.E.E.D. was co-written by the late singer-songwriter who has sold over how many records worldwide?,['100 million'],75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,75 million,100 million,100 million,100 million,100 million,100 million
 What term was used in the North-West Derby  to disparge their rivals?,['Mickey Mouse Cup'],Northwest Derby,Northwest Derby,Northwest Derby,Northwest Derby,Northwest Derby,North West Derby,North West Derby,North West Derby,North West Derby,North West Derby,North West Derby,North West Derby,North West Derby,North-West Derby,North-West Derby,North West Derby,North-West Derby,North West Derby,North West Derby,Northwest Derby,Northwest Derby,Northwest Derby,Northwest Derby,Northwest Derby,Northwest Derby
What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,['business district'],Urban district,Urban district,City,City,historic business district,Metropolitan Statistical Area,Urban district,Urban district,Urban district,historic business district,Business district,Business district,Business district,Business district,historic business district,Historic business district,Historic business district,Historic business district,Historic business district,historic business district,Congressional district,Congressional district,Congressional district,Congressional district,Congressional district
"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",['Monica Lewinsky'],Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey,Kathleen Willey
Which terrorist group was the cause of the battle in which Mark E. Michell won an award for his actions?,['al-Qaeda'],Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban,Taliban
What is the name of the so-called reform opera for Vienna that came before the one first performed in Vienna in the presence of Empress Maria Theresa?,"['""Alceste""']",Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orfeo ed Euridice,Orpheus and Eurydice,Orpheus and Eurydice,Orpheus and Eurydice,Orpheus and Eurydice,Orpheus and Eurydice
