What coalition rose up to oppose Louis XIV's France?,"['League of Augsburg', 'League of Augsburg', 'League of Augsburg']","England, Sweden, Dutch Republic","England, Sweden, and the Dutch Republic",Grand Alliance,League of Augsburg,"England, Sweden, and the Dutch Republic","Britain, the United Provinces of the Netherlands, and the Austrian Habsburgs","England, the Dutch Republic, Bavaria, Brandenburg, Saxony, the Holy Roman Empire, Spain, and Savoy",The Grand Alliance,Triple Alliance and Grand Alliance,"England, the United Provinces of the Netherlands, and the Austrian Habsburgs",The Grand Alliance,League of Augsburg,Grand Alliance,"England, Sweden, and the Dutch Republic",Grand Alliance,"England, Sweden, and the Dutch Republic","England, Sweden, and the Dutch Republic",Grand Alliance,"England, Sweden, Dutch Republic","England, Sweden, and the Dutch Republic","England, Sweden, and the Dutch Republic","England, Sweden, Dutch Republic","England, Sweden, and the Dutch Republic",Grand Alliance,"England, Sweden, and the Dutch Republic",Grand Alliance,"England, Sweden, and the Dutch Republic","England, Sweden, and the Dutch Republic","England, Sweden, Dutch Republic","England, the Dutch Republic, Austria, and the Holy Roman Empire",The Grand Alliance,Grand Alliance,"England, Sweden, and the Dutch Republic","England, Sweden, and the Dutch Republic","England, Sweden, and the Dutch Republic"
In what year did the film also mention the number of regenerations?,"['1996', '1996', '1996']",1976,1996,1976,1976,1996,1976,1976,1996,1976,1996,1976,1976,1976,1996,1976,1976,1976,1976,1976,1996,1976,1976,1996,1976,1996,1976,1996,2009,1976,1976,1976,1976,1976,1976,1996
What kind of memory was Tesla thought to have?,"['photographic memory', 'photographic', 'photographic']",Photographic memory,Eidetic memory,Photographic memory,Eidetic memory,Eidetic memory,eidetic memory,Photographic memory,Photographic memory,Photographic memory,Eidetic memory,Photographic memory,Photographic memory,Photographic memory,Eidetic memory,Photographic memory,Photographic memory,Eidetic memory,Photographic memory,Photographic memory,Eidetic memory,Photographic memory,Photographic memory,Photographic memory,Photographic memory,Photographic memory,Photographic memory,Photographic memory,Photographic memory,Eidetic memory,Photographic memory,Photographic memory,Photographic memory,Photographic memory,Eidetic memory,Photographic memory
What band headlined half-time during Super Bowl 50?,"['Coldplay', 'Coldplay', 'Coldplay']",Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay,Coldplay
How many homes had BSkyB's direct-to-home satellite service available to them in 2010?,"['10 million', '10 million', '10 million']",10 million,10 million,10 million,10 million,10 million homes,10 million,10 million,10 million,10 million,10 million,10 million,10 million homes,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million homes,10 million,10 million,10 million,10 million,10 million,10 million,10 million,10 million homes
What applies to equally to constant velocity motion as it does to rest.,"['Inertia', 'Inertia', 'Inertia', 'Inertia', 'Inertia']",Newton's First Law of Motion,Newton's first law,Inertia,inertia,Inertia,Inertia,Newton's First Law of Motion,inertia,Inertia,Newton's first law,Inertia,Inertia,inertia,Newton's First Law,inertia,Newton's first law,Newton's first law,Newton's first law of motion,Newton's First Law of Motion,Newton's first law,Inertia applies equally to constant velocity motion as it does to rest.,Newton's First Law of Motion,Newton's first law,Newton's First Law of Motion,Newton's first law,Inertia,Inertia,Newton's First Law of Motion,Newton's First Law of Motion,Newton's first law,Inertia,inertia,Newton's first law,Inertia,Inertia
How much can Ctenophores eat in one day?,"['ten times their own weight', 'ten times their own weight', 'ten times their own weight']",up to 10 times its weight per day,Ten times their weight,ten times their weight,Ten times their weight,Up to 10 times its weight per day,10 times their weight,ten times their own weight,up to 10 times its weight per day,10 times their weight,ten times their own weight,"Zooplankton including copepods, krill, amphipods, and clam and snail larvae",up to 10 times its weight per day,up to 10 times its weight per day,Up to 10 times its weight per day,up to 10 times its weight per day,Ten times their weight,ten times their weight,up to 10 times its weight per day,up to 10 times its weight per day,Up to 10 times their weight per day,up to 10 times its weight per day,up to 10 times its weight per day,ten times their own weight,up to 10 times its weight per day,Ten times their weight,ten times their weight,10 times their weight per day,Large volumes of water,Up to 10 times its weight,Up to 10 times their weight per day,up to 10 times their weight per day,up to 10 times its weight per day,Ten times their weight,ten times their weight per day,10 times their weight per day
Which two leading roles did Audra McDonald perform when she was in high school?,"['Evita and The Wiz', 'Evita and The Wiz', 'Evita and The Wiz']",Several musicals,Evita,Several musicals,Several musicals,Several musicals,Several musicals,musicals and operas,Several musicals,Several musicals,Several musicals,several musicals,"""The Wiz"" and ""Hello, Dolly!""",Several musicals,"The Wiz and Hello, Dolly!",Several musicals,Evita,several musicals,Several musicals,Several musicals,Several musicals,Several musicals,Several musicals,Evita,Several musicals,Evita and Carousel,Several musicals,"Hello, Dolly! and A Chorus Line",A Moon for the Misbegotten and 110 in the Shade,"The King and I, Hello, Dolly!","A Raisin in the Sun, Henry IV",Carousel and Porgy and Bess,Several musicals,Evita,several musicals,"Hello, Dolly! and A Chorus Line"
When was the Britain Can Make It exhibition held?,"['between September and November 1946', 'between September and November 1946,', 'between September and November 1946']",autumn of 1946,Autumn of 1946,autumn of 1946,autumn of 1946,September to December 1946,1946,1946,1946,1946,September to December 1946,Autumn of 1946,autumn of 1946,September to December 1946,1946,September to December 1946,1946,Autumn of 1946,September to December 1946,autumn of 1946,Autumn of 1946,1946,autumn of 1946,1946,autumn of 1946,1946,autumn of 1946,autumn of 1946,autumn of 1946,autumn of 1946,1946,autumn of 1946,September to December 1946,1946,Autumn of 1946,autumn of 1946
Why has the corruption not be in the public view?,"['Because the operations of the armed forces have been traditionally cloaked by the ubiquitous blanket of “state security”', 'state security', 'state security']",Lack of accounting for public funds diverted by corruption,It only measures public sector corruption.,well-hidden,Lack of accounting for diverted public funds,Less secure property rights,Less secure property rights,Lack of oversight and accountability,Shifts government spending away from valuable areas and leads to lower quality infrastructure and public services,Less secure property rights,Easily hidden and blamed,Less secure property rights,Less secure property rights,It does not account for public funds.,It is based on expert assessments and opinion surveys.,Slow atrophy of institutional trust,lack of transparency,Lack of awareness,It does not account for public funds.,Lack of accounting for public funds diverted by corruption,Perceived levels of public sector corruption,It only measures public sector corruption.,Vulnerability of health care systems and drug procurement to corruption,lack of transparency,It does not account for public funds.,lack of transparency,well-hidden,Corruption thrives in secret places,Lack of accounting for public funds diverted by corruption,Lack of public view,It has been at its worst in almost a decade.,CPI doesn't account for public funds diverted by corruption,Slow atrophy of institutional trust,lack of transparency,Lack of awareness,Corruption thrives in secret places and avoids public places.
In lands attributed to what tribe are found remains of large settlements?,"['Xingu tribe', 'Xingu', 'Xingu']",Navajo Nation,Cahokia tribe,Mississippian culture,Ute Mountain Ute Tribe,Athapaskan Haida and Tlingit,Mississippian culture,Mosopelea,Mississippian culture,Caddoan Mississippian culture,Cahokia tribe,Mississippian culture,Mississippian,Navajo Nation,Cahokia tribe,Navajo Nation,Cahokia tribe,Mississippian culture,Navajo Nation,Navajo Nation,Cahokia tribe,Mississippian culture,Navajo Nation,Cahokia tribe,Navajo Nation,Cahokia tribe,Mississippian culture,Muscogee Creek tribe,Navajo Nation,Mississippian tribe,Mississippian culture,Navajo Nation,Navajo Nation,Cahokia tribe,Mississippian culture,Muscogee Creek
How many Victorians are non-religious?,"['20%', '20%', '20%']",38.9%,38.9%,38.9%,39.1%,38.9%,38.9%,39.1%,38.9%,38.9%,39.1%,38.9%,39.1%,38.9%,38.9%,38.9%,42%,38.9%,38.9%,38.9%,42%,39.3%,38.9%,42%,38.9%,38.9%,38.9%,39.1%,38.9%,38.9%,38.9%,38.9%,38.9%,42%,38.9%,38.9%
What did the increase in skilled workers lead to?,"['a decrease in the price of skilled labor', 'decrease in the price of skilled labor', 'decrease in the price of skilled labor']",Increased wages,Rising wages,rising wages in higher-skill jobs and falling wages in lower-skill jobs,More complex tasks completed on the job,Rising wages,Rising wages,Rising wages,Rising wages,higher wages,Increased wages,Rising wages,improved productivity,Economic productivity,Rising wages,Economic productivity,Rising wages,Rising demand and wages,Economic productivity,Rising wages,Rising wages,Increased wage inequality and lower relative employment among unskilled workers,Increased wages,Rising wages,Increased wages,Rising wages,rising wages in higher-skill jobs and falling wages in lower-skill jobs,a gap in the workforce,Raised wages,More than 85 million jobs going unfilled,A gap in the workforce,Increased wage inequality and lower relative employment among unskilled workers,Economic productivity,Rising wages,Rising wages,a gap in the workforce
When was the last episode of the original series?,"['6 December 1989', '6 December 1989', '6 December 1989']","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","""Turnabout Intruder""","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969","June 3, 1969"
"In a progressive tax, what increases as the taxable base amount increases?","['the tax rate', 'tax rate', 'tax rate']",Tax rate and amount paid,Tax rate and amount paid,Tax rate and amount paid,Tax rate,Tax rate and amount paid,Tax rate,Tax rate and amount paid,Tax rate and amount paid,tax rate,Tax rate and amount paid,Tax rate and amount paid,tax rate and amount paid,average tax burden,Tax rate and amount paid,average tax burden,Tax rate and amount paid,Tax rate and amount paid,average tax burden,Tax rate and amount paid,Tax rate and amount paid,tax rate and amount paid,Tax rate and amount paid,Tax rate and amount paid,average tax burden,Tax rate and amount paid,Tax rate and amount paid,The tax rate and amount paid,Tax rate and amount paid,The tax rate,Tax rate and amount paid,Tax rate and amount paid,average tax burden,Tax rate and amount paid,Tax rate and amount paid,Tax rate
What is a recent civil disobedience done in a group form?,"['refuse to sign bail', 'collectively refuse to sign bail until certain demands are met', 'some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met', 'jail solidarity']",Dousing Wall Street bull,Extinction Rebellion,Tens of thousands,Blocking main streets,Mass protests,"mass movements in Iran, Hong Kong, Sudan, Lebanon, Algeria",National civil disobedience movement,Black Lives Matter protests,In Baghdad,Extinction Rebellion,Extinction Rebellion,Nearly 200 hotel workers,Blocking main streets,Civil rights protests,Protests,Black Lives Matter,Civil rights movement,Blocking main streets,Blocking main streets,Extinction Rebellion,Protests in Baghdad,Dousing Wall Street bull,Black Lives Matter,Climate protesters douse famous Wall Street bull,Black Lives Matter,Tens of thousands,Extinction Rebellion and School Strike for Climate,Blocking the Concorde bridge in Paris,Smoking marijuana in public,The Boston Tea Party,Group protests,Protests,Public squares and blocked main streets,Civil rights movement,Extinction Rebellion and School Strike for Climate
What experiences acceleration when external force is applied to a system?,"['center of mass', 'center of mass', 'the center of mass', 'the center of mass', 'the center of mass']",the body,Center of mass,velocity,System,center of mass,center of mass,A system,center of mass,Mass,Object,Center of mass,An object,An object,Object,an object,Center of mass,center of mass,An object,the body,Center of mass,Object,the body,Center of mass,An object,Center of mass,velocity,Object,an object,An object,an object,An object,an object,Center of mass,center of mass,A trolley
"New cameras were introduced for the game, what degree of view do they provide viewers?","['360-degree', '360', '360']",45-degree angle,180-degree,45-degree angle view,45 degree angle,Cinematic view,45-degree angle,45 degrees,Cinematic view,Shallow depth of field,Shallow depth of field,45 degree angle,Cinematic view,45-degree angle,Larger angle,45-degree angle,180-degree view,55 degrees,45-degree angle,45-degree angle,180-degree,45-degree angle,45-degree angle,180-degree view,45-degree angle,180-degree view,45-degree angle view,Cinematic view,45-degree angle,30-45 degrees,Pylon view,Greater understanding of space,45-degree angle,180-degree view,55 degrees,45-degree angle
What is usual form of oxygen bound compounds?,"['oxides', 'oxides', 'oxides', 'oxides', 'oxides']",oxyhemoglobin,Oxyhemoglobin,Hemoglobin,oxyhemoglobin,Oxyhemoglobin,Oxyhemoglobin,oxyhemoglobin,Oxyhemoglobin,oxyhemoglobin,Oxyhemoglobin,covalently bonded compounds,Octahedral iron complex,oxyhemoglobin,Oxyhemoglobin,oxyhemoglobin,Oxyhemoglobin,Octahedral iron complex,oxyhemoglobin,oxyhemoglobin,Oxyhemoglobin,octahedral iron complex,oxyhemoglobin,Oxyhemoglobin,oxyhemoglobin,Oxyhemoglobin,Covalently bonded compounds,oxyhemoglobin,oxyhemoglobin,Hemoglobin,Oxyhemoglobin,Oxyhemoglobin,oxyhemoglobin,Oxyhemoglobin,Octahedral iron complex,Oxyhemoglobin
What actually causes rigidity in matter?,"['the Pauli exclusion principle', 'the Pauli exclusion principle', 'Pauli exclusion principle', 'Pauli exclusion principle']",Tightly packed molecules,Molecules packed together tightly,Strong intermolecular forces,intermolecular forces of attraction,Intermolecular forces,Tightly packed molecules,Tightly packed particles,Particle attraction,Resistance to deformation,Particle attraction,Attraction between particles,Strong attraction between particles,Strong interatomic forces,Molecules packed together tightly,Strong interatomic forces,Molecules packed together tightly,Tightly packed molecules,Strong interatomic forces,Tightly packed molecules,Molecules packed together tightly,Strong intermolecular attractions,Tightly packed molecules,Molecules packed together tightly,Strong interatomic forces,Molecules packed together tightly,Strong intermolecular forces,Strong intermolecular attractions,Intermolecular forces,Molecules packed together tightly,Molecules packed tightly,Tightly packed molecules,Strong interatomic forces,Molecules packed together tightly,Tightly packed molecules,Strong intermolecular attractions
What titles are the President given?,"['the head of state and head of government', 'head of state and head of government', 'head of state and head of government']","""Mr. President"" and ""Madam President""","Comrade Supreme Commander, His Excellency","""Mr. President"" and ""Madam President""","""Mr. President"" and ""Madam President""","head of state, head of government, and Commander-in-Chief of the armed forces","""Mr. President"" and ""His Excellency""","""Mr. President"" and ""Madam President""","""Mr. President"" and ""Madam President""","chief of state, head of government, commander in chief","""Mr. President"" and Madam President","Mr. President, Madam President","""Mr. President"" and ""Madam President""","""Mr. President"" and ""Madam President""",head of state and head of government,"""Mr. President"" and ""Madam President""","President of the French Republic, President of the Russian Federation","""Mr. President"" and ""Madam President""","""Mr. President"" and ""Madam President""","""Mr. President"" and ""Madam President""","Comrade Supreme Commander, His Excellency","""Mr. President"" and ""Madam President""","""Mr. President"" and ""Madam President""","Mr. President, Madam President","""Mr. President"" and ""Madam President""","Comrade Supreme Commander, His Excellency","""Mr. President"" and ""Madam President""",Mr. President and Madam President,"""Mr. President"" and ""Madam President""",head of state and head of government,"Head of state, head of government",Mr. President and Madam President,"""Mr. President"" and ""Madam President""","president of the French Republic, president of the Russian Federation, president of the United States","""Mr. President"" and ""Madam President""","Chair of the Federal State Council, Supreme Commander-in-Chief of the Russian Armed Forces"
Why were Johann Esch and Heinrich Voes executed by the Catholic Church?,"['for Lutheran views', 'Lutheran views', 'Lutheran views,']",adherence to Reformation doctrine,Adherence to Reformation doctrine,Adherence to Reformation doctrine,Adherence to Reformation doctrine,Adherence to Reformation doctrine,Adherence to Reformation doctrine,refusing to recant their Lutheran belief,Adherence to Reformation doctrine,Adherence to Reformation doctrine,Adhering to Martin Luther's teachings,Refusing to recant their Lutheran belief,for their adherence to Reformation doctrine,adherence to Reformation doctrine,Adherence to Reformation doctrine,adherence to Reformation doctrine,Adherence to Reformation doctrine,Adhering to Martin Luther's teachings,adherence to Reformation doctrine,adherence to Reformation doctrine,Adherence to Reformation doctrine,Adherence to Reformation doctrine,adherence to Reformation doctrine,Adherence to Reformation doctrine,adherence to Reformation doctrine,Adherence to Reformation doctrine,Adherence to Reformation doctrine,Reformation doctrine,adherence to Reformation doctrine,Adherence to Reformation doctrine,Holding Lutheran beliefs,Reformation doctrine,adherence to Reformation doctrine,Adherence to Reformation doctrine,Holding Lutheran beliefs,Reformation doctrine
What did Gano hit on his 44-yard field goal attempt?,"['the uprights', 'the uprights', 'uprights']",Upright,Upright,The upright,right upright,Upright,upright,Upright,Upright,The upright,The right post,Right post,upright,Upright,Upright,The right upright,Upright,Upright,Upright,Upright,Upright,The upright,Upright,Upright,Upright,Upright,The upright,Right post,Upright,the right upright,Right post,right upright,The right upright,Upright,Upright,Right post
What did Luther think that faith could not be understood by?,"['reason', 'reason', 'human reason']",anything else,Reason,Good works,Christological point of view,Works,Reason,good works,Reason,works,reason,Reason,Good works,God's sovereignty and accessibility,Good works,Anything else,Works,Reason,anything else,reason,Reason,Human reason,God's sovereignty,Works,God's sovereignty,Reason,Good works,Good works,reason,reason,reason,reason,God's sovereignty and accessibility,reason,Reason,Good works
When did the Channel 4 documentary Undercover Mosque air?,"['2007', '2007', '2007']","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007",15 January 2007,"January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007",15 January 2007,15 January 2007,"January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007",15 January 2007,"January 15, 2007","January 15, 2007",15 January 2007,"January 15, 2007","January 15, 2007",15 January 2007,"January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007","January 15, 2007"
Which Super Bowl did Roger Goodell speak about?,"['the 50th Super Bowl', 'the 50th', '50th']",Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl 61,Super Bowl LVI,Super Bowl 57,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVII,Super Bowl 57,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI,Super Bowl LVI
In what year did ABC stylize it's logo as abc?,"['1957', '1957', '1957']",1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,2013,1962,2013,1962,1962,1962,1962,2021,2021,1962,2013,1962,1962,1962
Who was responsible for the glass balustrade on the staircase and mezzanine in the main gallery?,"['Danny Lane', 'Danny Lane,', 'Danny Lane']",Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Kathryn Feeney,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Kathryn Feeney,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Danny Lane,Kathryn Feeney,Danny Lane,Danny Lane,The Main Gallery,Danny Lane,Danny Lane,Danny Lane,Kathryn Feeney,Kathryn Feeney
The Brotherhood's members are against consuming what beverage?,"['alcohol', 'alcohol', 'alcohol']",alcohol,Alcohol,Alcoholic beverages,alcohol,Alcohol,alcohol,Alcohol over 15% ABV,alcoholic beverages,Alcoholic beverages,Alcohol,Alcoholic beverages,Alcoholic beverages,alcohol,Alcoholic beverages,alcohol,Alcohol,alcoholic beverages,alcohol,alcohol,Alcohol,Alcohol and chems,alcohol,Alcohol,alcohol,Alcohol,Alcoholic beverages,Alcoholic beverages,alcoholic beverages,chems,Alcohol,Bawls energy drink,alcohol,Alcohol,alcoholic beverages,Alcoholic beverages
What pope as a native of Poland?,"['John Paul II', 'John Paul II', 'John Paul II']",John Paul II,John Paul II,John Paul II,Pope John Paul II,John Paul II,John Paul II,Pope John Paul II,Pope John Paul II,John Paul II,Pope John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,Pope John Paul II,John Paul II,John Paul II,John Paul II,Pope John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,Pope John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,John Paul II,Pope John Paul II
When large groups of people all boycott a system or don't pay taxes it can be considered?,"['coercive', 'civil disobedience', 'coercive', 'coercive', 'civil disobedience']",tax resistance,Tax resistance,a group boycott,Tax resistance,Tax resistance,tax resistance,Tax resistance,tax resistance,Tax resistance,"protest, nonviolent resistance, or conscientious objection",Tax resistance,tax resistance,Tax resistance,Tax resistance,Tax resistance,Tax resistance,civil disobedience,Tax resistance,tax resistance,Tax resistance,Tax resistance,tax resistance,Tax resistance,Tax resistance,Tax resistance,a group boycott,Tax resistance,civil disobedience,Civil disobedience.,tax resistance,Tax resistance,Tax resistance,Tax resistance,civil disobedience,Civil disobedience
Why is the collection dominated by fashionable clothes made for special occasions?,"['Because everyday clothing from previous eras has not generally survived', 'Because everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived']","The garment industry began and flourished, leading to the emergence of fashion houses and designer clothes.",Celebrations have great influence on the fashion industry,loungewear and comfortable fabrics,Rites of passage and fiestas,Individual choice and freedom,Higher demand for women's fashion,Build brand image,"Festive colors, patterns, and trims in a modest style",Higher demand for women's fashion,The garment industry flourished.,To facilitate participation in out-of-the-ordinary events,Individual choice and freedom,Conceptual collections,Occasion and purpose,Conceptual collections,Celebrations have a great influence on the fashion industry,to show honor and respect,Conceptual collections,"The garment industry began and flourished, leading to the emergence of fashion houses and designer clothes.",Celebrations have great influence on the fashion industry,It is a visual marker of societal changes and a status symbol.,The garment industry flourished and fashion houses emerged.,Celebrations and non-verbal communication,Conceptual collections,Celebrations have great influence on the fashion industry.,loungewear and comfortable fabrics,For special occasions,The garment industry flourished and fashion houses emerged.,The modern fashion industry started in the 19th century.,Different occasions may require different levels of comfort or protection.,Occasion and purpose,Conceptual collections,Celebrations have a great influence on the fashion industry,To show honor and respect,For special occasions
What right do private schools have that public schools don't?,"['to select their students', 'select their students', 'select their students']",Limit speech,Greater freedom in curriculum and programs,"set their own curriculum, admission criteria, and teaching methods",Limit speech and free exercise of religion,Limit speech and free exercise of religion,Curriculum freedom,Greater freedom in curriculum,Limit speech,Greater freedom in curriculum,Set their own curriculum,Greater freedom in curriculum and programs,Greater freedom in curriculum,"Limit speech, free exercise of religion",Greater freedom in curriculum and programs,"Limit speech, free exercise of religion",Greater freedom in curriculum and programs,limit speech,"Limit speech, free exercise of religion",Limit speech,Greater freedom in curriculum and programs,Create educational experiences without state mandates,Limit speech,Greater freedom in curriculum and programs,"Limit speech, free exercise of religion",Greater freedom in curriculum and programs,"Set their own curriculum, admission criteria, and teaching methods",Greater curriculum freedom,Limit speech and free exercise of religion,Curriculum selection,Greater freedom in curriculum,Choose their own curriculum,"Limit speech, free exercise of religion",Greater freedom in curriculum and programs,limit speech,Greater curriculum freedom
How many major bus stations are in the city of Newcastle?,"['two', 'two', 'two']",Four,Three,Two,Four,Four,Four,Four,Two,Four,Four,Two,Four,Four,Four,Four,Three,Four,Four,Four,Three,Three,Four,Three,Four,Three,Two,Four,Four,Four,Four,Four,Four,Three,Four,Four
What part of the Earth is composed of mostly of silicates of iron and magnesium?,"[""Earth's mantle"", ""The Earth's mantle"", 'mantle', ""The Earth's mantle"", 'mantle']",lower mantle,Lower mantle,Lower mantle,Lower mantle,Lower mantle,The mantle,The lower mantle,Lower mantle,The mantle,lower mantle,Lower mantle,The mantle,lower mantle,Lower mantle,lower mantle,Lower mantle,Lower mantle,lower mantle,lower mantle,Lower mantle,Lower mantle,lower mantle,Lower mantle,lower mantle,Lower mantle,Lower mantle,The mantle,lower mantle,Lower mantle,Lower mantle,Lower mantle,lower mantle,Lower mantle,Lower mantle,The mantle
How did Natives in Logstown take Celeron's information?,"['informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French', 'informed Céloron that they owned the Ohio Country and that they would trade with the British', 'they owned the Ohio Country', 'they owned the Ohio Country and that they would trade with the British regardless of the French']",They burned the town,Curiously,informed Céloron that they owned the Ohio Country and that they would trade,Assurances,Evicted them,informed Céloron that they owned the Ohio Country and that they would trade,informed Céloron that they owned the Ohio Country and that they would trade,Poorly,Evicted them,Evicted traders and scolded the governor,Incensed,Poorly,Positively,Assurances,"They were assured that the Indians and the English ""were brothers""",Curiously,Evicted,Positively,They burned the town,"As assurances that the Indians and the English ""were brothers""",informed Céloron,They burned the town,Stolen,"They were assured that the Indians and the English ""were brothers""",curiously,informed Céloron,Incensed,Evicted the traders,poorly,Seriously,Evicted English traders,"They were assured that the Indians and the English ""were brothers""",as brothers,Evicted,poorly
What rift system developed in the Alpine orogeny?,"['N–S', 'N–S', 'N–S rift system']",The European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic rift system,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,The European Cenozoic Rift System,The European Cenozoic Rift System,European Cenozoic Rift System,The European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,The European Cenozoic Rift System,The European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,The European Cenozoic Rift System,European Cenozoic Rift System,The European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,The European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System,European Cenozoic Rift System
What day of the week was Media Day held on for Super Bowl 50?,"['Monday', 'Monday', 'Monday']",Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday,Monday
What entity did Tesla believe would not be able to solve the problems of the time?,"['League of Nations', 'the League of Nations', 'League of Nations']",Destroying,Destroying,Destroying,Government,Destroying,"""destroying""",destroying,Destroying,Destroying,Destroying,Destroying,destroying,Destroying,Destroying,Destroying,Destroying,Destroying,Destroying,Destroying,Destroying,Civilization,Destroying,Destroying,Destroying,Destroying,Destroying,Destroying,Destroying,destroying,Destroying,Destroying,Destroying,Machine,Human hands,Destroying
"What is the theory that this King's name is the origin of ""Huguenot"" called?","['The ""Hugues hypothesis""', '""Hugues hypothesis""', 'Hugues hypothesis']",Hugues hypothesis,"""Hugues hypothesis""",Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,"""Hugues hypothesis""","The ""Hugues hypothesis""",Hugues hypothesis,Hugues hypothesis,"""Hugues hypothesis""",Hugues hypothesis,"""Hugues hypothesis""",Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,"""Hugues hypothesis""","The ""Hugues hypothesis""",Hugues hypothesis,"""Hugues hypothesis""",Hugues hypothesis,"""Hugues hypothesis""",Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,Hugues hypothesis,"""Hugues hypothesis""",Hugues hypothesis,Hugues hypothesis
How many species of trees can be found in the Amazon rainforest?,"['16,000', '16,000', '16,000']","≈12,500","16,000","≈12,500","Approximately 12,500","≈12,500","16,000 species","≈12,500","Approximately 12,500","16,000 species","≈12,500","Approximately 12,500","Over 2,500","approximately 12,500 species","16,000","≈12,500","16,000","16,000 different species","12,500","≈12,500","16,000","16,000 different species","≈12,500","16,000","12,500","16,000","≈12,500","Approximately 12,500","16,000 different species","16,000 species","Approximately 12,500","16,000 species","≈12,500","16,000 species","16,000 different species","Approximately 12,500"
